iter	Passed	Remaining
403	11154	16456
404	11176	16419
405	11203	16390
406	11241	16379
407	11271	16354
408	11290	16314
409	11308	16273
410	11327	16233
411	11346	16193
412	11367	16156
413	11391	16124
414	11417	16095
415	11435	16054
416	11455	16016
417	11474	15977
418	11492	15935
419	11512	15897
420	11530	15858
421	11552	15822
422	11586	15804
423	11604	15765
424	11622	15725
425	11648	15694
426	11666	15656
427	11684	15616
428	11706	15581
429	11738	15560
430	11757	15522
431	11779	15487
432	11798	15449
433	11818	15413
434	11836	15374
435	11857	15338
436	11877	15301
437	11898	15266
438	11922	15235
439	11942	15199
440	11962	15163
441	12003	15154
442	12029	15124
443	12059	15101
444	12085	15072
445	12113	15046
446	12133	15010
447	12158	14980
448	12175	14941
449	12198	14908
450	12220	14875
451	12242	14842
452	12265	14810
453	12286	14776
454	12305	14739
455	12325	14704
456	12349	14674
457	12375	14645
458	12403	14619
459	12425	14585
460	12450	14556
461	12478	14531
462	12502	14501
463	12534	14479
464	12561	14452
465	12585	14421
466	12609	14391
467	12631	14359
468	12655	14328
469	12675	14293
470	12695	14259
471	12716	14225
472	12733	14186
473	12754	14153
474	12776	14121
475	12795	14086
476	12813	14048
477	12838	14020
478	12857	13985
479	12877	13950
480	12896	13915
481	12917	13881
482	12937	13847
483	12958	13815
484	12983	13786
485	13005	13754
486	13024	13719
487	13045	13687
488	13063	13651
489	13083	13617
490	13101	13581
491	13124	13550
492	13143	13516
493	13162	13482
494	13182	13448
495	13202	13415
496	13222	13382
497	13247	13353
498	13266	13320
499	13286	13286
500	13316	13263
501	13336	13229
502	13357	13198
503	13384	13172
504	13406	13141
505	13436	13117
506	13466	13094
507	13485	13061
508	13506	13028
509	13527	12997
510	13562	12978
511	13582	12945
512	13602	12913
513	13623	12881
514	13643	12849
515	13663	12816
516	13684	12784
517	13703	12750
518	13724	12719
519	13746	12689
520	13766	12656
521	13784	12623
522	13804	12590
523	13823	12557
524	13843	12524
525	13863	12492
526	13886	12463
527	13916	12440
528	13935	12407
529	13957	12377
530	13978	12346
531	14002	12317
532	14023	12287
533	14043	12255
534	14065	12224
535	14087	12195
536	14112	12167
537	14132	12136
538	14152	12104
539	14174	12074
540	14194	12042
541	14214	12011
542	14235	11980
543	14254	11948
544	14281	11923
545	14302	11892
546	14322	11861
547	14344	11831
548	14364	11800
549	14406	11787
550	14430	11758
551	14448	11725
552	14467	11694
553	14487	11663
554	14506	11631
555	14524	11598
556	14555	11576
557	14575	11545
558	14596	11515
559	14616	11484
560	14639	11455
561	14662	11427
562	14684	11398
563	14705	11368
564	14728	11339
565	14750	11310
566	14772	11281
567	14791	11249
568	14811	11219
569	14828	11186
570	14849	11156
571	14880	11134
572	14903	11105
573	14922	11074
574	14942	11044
575	14964	11015
576	14985	10985
577	15004	10955
578	15024	10924
579	15044	10894
580	15062	10862
581	15085	10834
582	15104	10803
583	15122	10772
584	15155	10751
585	15173	10720
586	15197	10692
587	15217	10662
588	15240	10634
589	15258	10603
590	15278	10573
591	15296	10541
592	15321	10516
593	15340	10485
594	15360	10455
595	15386	10429
596	15407	10400
597	15429	10372
598	15447	10341
599	15467	10311
600	15486	10281
601	15509	10253
602	15531	10225
603	15550	10195
604	15569	10165
605	15589	10136
606	15610	10106
607	15634	10079
608	15662	10055
609	15680	10024
610	15699	9995
611	15717	9964
612	15738	9936
613	15757	9906
614	15794	9887
615	15811	9856
616	15862	9846
617	15890	9822
618	15917	9797
619	15941	9770
620	15969	9746
621	15988	9716
622	16006	9686
623	16024	9655
624	16046	9627
625	16078	9606
626	16108	9582
627	16129	9554
628	16147	9524
629	16181	9503
630	16199	9473
631	16220	9444
632	16239	9415
633	16257	9385
634	16275	9355
635	16299	9328
636	16324	9302
637	16343	9273
638	16361	9243
639	16381	9214
640	16402	9186
